web-scraper-order,web-scraper-start-url,Name,Units Sold,Price
1759481080-74,https://shopee.com.my/lunabeauty.my#product_list,[K-Secret] Seoul 1988 Cleansing Oil/ Foam : Pine Cica 1% + Probiotics,38 sold,45.00
1759481080-75,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Pretty Easy Glitter Stick - 7 colours 珠光眼影棒,356 sold,28.00
1759481080-76,https://shopee.com.my/lunabeauty.my#product_list,[Dr.Melaxin] Exosome Repair Ampoule Plus 40ml/ Blemish Cream 50ml,104 sold,85.00
1759481080-77,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Oh! Happy Day Lip Pencil 0.8g,462 sold,31.85
1759481080-78,https://shopee.com.my/lunabeauty.my#product_list,[Beauty of Joseon] Red Bean Water Gel 100ml,321 sold,57.75
1759481080-79,https://shopee.com.my/lunabeauty.my#product_list,[Biodance] Bio-Collagen/ Hydro Cera-Nol/ Refreshing Sea Kelp/ Radiant Vita Niacinamide Real Deep Mask (1 pc/4 pcs),841 sold,23.00
1759481080-80,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Get Loose Glitter Gel 4g - 7 colours 珠光眼影,384 sold,20.00
1759481080-81,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Sunset Dazzle Gloss Balm 10g,56 sold,44.93
1759481080-82,https://shopee.com.my/lunabeauty.my#product_list,[Frudia] Avocado Cica Relief/ Blueberry Hydrating Honey/ Pomegranate Honey 3in1 Lip Balm 10g,134 sold,20.00
1759481080-83,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Mood Shower Eye Palette 4g - 3 colours,81 sold,42.90
1759481080-84,https://shopee.com.my/lunabeauty.my#product_list,[DearMay] 2in1 Plumpy Lip Liner 0.36g,19 sold,21.90
1759481080-85,https://shopee.com.my/lunabeauty.my#product_list,[VT] Reedle Shot 50/ 100/ 300 50ml,87 sold,86.00
1759481080-86,https://shopee.com.my/lunabeauty.my#product_list,[SeohaeSol] SeohaeSol Travel Kit,,199.00
1759481080-87,https://shopee.com.my/lunabeauty.my#product_list,"[Fully] Green Tomato Cleanser, Cleansing Oil, Serum, Toner, Cream, Brush",179 sold,44.88
1759481080-88,https://shopee.com.my/lunabeauty.my#product_list,[Eqqualberry] Vitamin Illuminating/ Bakuchiol Plumping Serum 30ml,487 sold,84.80
1759481080-89,https://shopee.com.my/lunabeauty.my#product_list,[Oddtype] Unveiled Skin Highlighter 11g,1 sold,63.70
1759481080-90,https://shopee.com.my/lunabeauty.my#product_list,[Jumiso] Snail Mucin 95 + Peptide Facial Essence 5ml/140ml,566 sold,69.00
1759481080-91,https://shopee.com.my/lunabeauty.my#product_list,[Rom&nd] Romand NU Zero Cushion 14g,333 sold,65.00
1759481080-92,https://shopee.com.my/lunabeauty.my#product_list,[House of Hur] Every Cheek Blush 6.5g,11 sold,68.50
1759481080-93,https://shopee.com.my/lunabeauty.my#product_list,[Fwee] 3D Voluming Gloss 5.3g,594 sold,60.00
1759481080-94,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Heartleaf Silky Moisture/ Airy Sun Cream Sun Cream SPF50+ PA++++ 50ml,274 sold,21.00
1759481080-95,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Heartleaf Silky Moisture/ Airy Sun Cream Sun Cream SPF50+ PA++++ 50ml,274 sold,21.00
1759481080-96,https://shopee.com.my/lunabeauty.my#product_list,[Medicube] PDRN Pink One Day Serum Set,169 sold,52.50
1759481080-97,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Niacinamide 10% + TXA 3% Serum 30ml,297 sold,86.60
1759481080-98,https://shopee.com.my/lunabeauty.my#product_list,[Haruharu Wonder] Wonder Black Rice Moisture Deep Cleansing Oil 150ml,568 sold,61.60
1759481080-99,https://shopee.com.my/lunabeauty.my#product_list,[Isntree] Hyaluronic Acid Watery Sun Gel/Natural Sun Cream 50ml/Airy Sun Stick 22g,3k+ sold,54.00
1759481080-100,https://shopee.com.my/lunabeauty.my#product_list,[Beauty of Joseon] Glow Replenishing Rice Milk/ Ground Rice and Honey Glow Mask 150ml,263 sold,65.18
1759481080-101,https://shopee.com.my/lunabeauty.my#product_list,[TirTir] Milk Skin Toner (20ml/150ml) / Light 150ml,557 sold,15.00
1759481080-102,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml,69 sold,43.00
1759481080-103,https://shopee.com.my/lunabeauty.my#product_list,[Glint] Stick Highlighter/ Sheer Bronzer Stick 7g 保湿高光打亮棒,129 sold,55.39
1759481080-104,https://shopee.com.my/lunabeauty.my#product_list,"[delphyr] Liposome Foam, Oil, Toner, Cream, Sun Care",120 sold,69.00
1759481080-105,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004] Madagascar Centella Sun Care 50ml,479 sold,69.90
1759481080-106,https://shopee.com.my/lunabeauty.my#product_list,[ShaiShaiShai] Aloe PDRN Cooling Mud Mask 100ml,,60.00
1759481080-107,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Glitterpedia Eye Palette 6.2g 九宫格眼影盘,752 sold,72.89
1759481080-108,https://shopee.com.my/lunabeauty.my#product_list,[HaruHaru Wonder] Wonder Black Rice Moisture 5.5 Soft Cleansing Gel 100ml,1k+ sold,48.00
1759481080-109,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Babe Skin Baby Blue Cushion 12 Shades - 15g,102 sold,39.50
1759481080-110,https://shopee.com.my/lunabeauty.my#product_list,[Code GloKolor] Oil Cut Powder 控油散粉蜜粉,60 sold,26.60
1759481080-111,https://shopee.com.my/lunabeauty.my#product_list,[Iunik] Propolis Vitamin Synergy/ Beta Glucan Power Moisture/ Tea Tree Relief Serum 50ml,134 sold,64.00
1759481080-112,https://shopee.com.my/lunabeauty.my#product_list,[DearMay] Fingertip smudge brush 1pc,20 sold,15.50
1759481080-113,https://shopee.com.my/lunabeauty.my#product_list,[Iunik] Beta glucan daily moisture Cream 60ml/ Powder Serum 50ml/ Barrier Sunscreen 60ml,56 sold,52.00
1759481080-114,https://shopee.com.my/lunabeauty.my#product_list,[Code Glokolor] Mood Touch Blusher 3.5g,10 sold,33.50
1759481080-115,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Niacin 10% + TXA/ PDRN/ Peach 70 Niacin/ Heartleaf 80% Soothing/ Nano Retinol 0.3% + Niacin/ Blemish Serum,1k+ sold,78.32
1759481080-116,https://shopee.com.my/lunabeauty.my#product_list,[VT] Cica No Sebum Mild/ Cica No Sebum UV Powder 5g,10 sold,31.50
1759481080-117,https://shopee.com.my/lunabeauty.my#product_list,[Orien] Mugwort Zero Film Cleansing Oil 200ml/ Foam 150ml,10 sold,47.50
1759481080-118,https://shopee.com.my/lunabeauty.my#product_list,[Rom&nd] Romand x INAPSQUARE Black Edition,286 sold,31.20
1759481080-119,https://shopee.com.my/lunabeauty.my#product_list,[ANUA] Heartleaf 77 Clear Pad 70pads,228 sold,50.00
1759481080-120,https://shopee.com.my/lunabeauty.my#product_list,[Numbuzin] No.5 Vitamin Concentrated Serum 30ml/ Glutathione Dark Spot Laser 50ml/ Vit-Niacin Concentrated Pad,75 sold,77.93
1759481080-121,https://shopee.com.my/lunabeauty.my#product_list,[KOPHER] Calming Ocean Suncream 50ml,,82.00
1759481080-122,https://shopee.com.my/lunabeauty.my#product_list,[DearMay] Crunchie Pop Slim Pen Eyeliner - 2 colours,10 sold,26.00
1759481080-123,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] A by Unleashia Tanghulu Glaze Tint 2g,2 sold,24.38
1759481080-124,https://shopee.com.my/lunabeauty.my#product_list,[Dr. Althea] 147 Barrier Cream 50ml,164 sold,105.00
1759481080-125,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Zero-Cast Moisturizing Finish Sunscreen 50ml,21 sold,71.92
1759481080-126,https://shopee.com.my/lunabeauty.my#product_list,[Anua] Zero-Cast Moisturizing Finish Sunscreen 50ml,21 sold,71.92
1759481080-127,https://shopee.com.my/lunabeauty.my#product_list,[Tocobo] Juicy Berry Plumping Lip Oil Glam Max (14 Colors),393 sold,35.00
1759481080-128,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Healthy Green Cushion 15g 丝缎光泽美肌气垫,280 sold,39.50
1759481080-129,https://shopee.com.my/lunabeauty.my#product_list,[Rom&nd] Romand Glasting Water Tint [No: 1-13],3k+ sold,35.47
1759481080-130,https://shopee.com.my/lunabeauty.my#product_list,[Fwee] Lip & Cheek Blurry Pudding Pot 5g,1k+ sold,73.50
1759481080-131,https://shopee.com.my/lunabeauty.my#product_list,[Needly] Daily Toner Pad - 60 Sheets,,73.00
1759481080-132,https://shopee.com.my/lunabeauty.my#product_list,[DearMay] The Chic Eyebrow Pencil - 4 colors,7 sold,13.00
1759481080-133,https://shopee.com.my/lunabeauty.my#product_list,[Orien] Mugwort Zero Film Cleansing Oil 200ml,4 sold,78.00
1759481080-134,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Don't Touch Glass Pink Cushion - 18 shades (15g),106 sold,39.50
1759481080-135,https://shopee.com.my/lunabeauty.my#product_list,[Abib] PDRN Collagen Overnight Mask Firming Jelly 80ml,,77.00
1759481080-136,https://shopee.com.my/lunabeauty.my#product_list,[Heimish] All Clean Balm Mandarin Blister 5ml,833 sold,3.80
1759481080-137,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004] Madagascar Centella Soothing Cream 75ml/30ml,302 sold,25.90
1759481080-138,https://shopee.com.my/lunabeauty.my#product_list,[TFIT] Delicate Silk Veil/ Hydrate Vanish Art Primer 30ml,344 sold,66.00
1759481080-139,https://shopee.com.my/lunabeauty.my#product_list,[Beauty of Joseon] Revive Eye Serum : Ginseng + Retinal 30ml,536 sold,54.60
1759481080-140,https://shopee.com.my/lunabeauty.my#product_list,[Haruharu Wonder] Wonder Black Rice Hyaluronic Toner,1k+ sold,47.50
1759481080-141,https://shopee.com.my/lunabeauty.my#product_list,[VT] VT Cica Daily Soothing/ Collagen/ PDRN/ Reti-A Mask 30ea,51 sold,74.00
1759481080-142,https://shopee.com.my/lunabeauty.my#product_list,[Abib] PDRN Retinal Eye Patch Glow jelly 60 Patches,1 sold,68.00
1759481080-143,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004] Madagascar Centella Toning Toner 30ml/210ml/400ml,273 sold,25.89
1759481080-144,https://shopee.com.my/lunabeauty.my#product_list,[Skin1004] Poremizing Deep Cleansing/ Centella Ampoule Foam / Tone Brightening Cleansing Gel Foam 125ml,383 sold,23.64
1759481080-145,https://shopee.com.my/lunabeauty.my#product_list,[Isntree] Hyaluronic Acid Watery Sun Gel 50ml/10ml,5k+ sold,13.00
1759481080-146,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] A by Unleashia Cloud Kiss Velvet Tint 2.2g,2 sold,24.38
1759481080-147,https://shopee.com.my/lunabeauty.my#product_list,[Jumiso] Snail Mucin 88 + Peptide Cream 100ml/30ml,243 sold,35.00
1759481080-148,https://shopee.com.my/lunabeauty.my#product_list,[Fwee] Pocket Cheek Palette 9.6g,7 sold,93.50
1759481080-149,https://shopee.com.my/lunabeauty.my#product_list,[Anua] 8 Hyaluronic Acid Hydrating Gentle Foaming Cleanser 150ml,56 sold,48.00
1759481080-150,https://shopee.com.my/lunabeauty.my#product_list,[Pyunkang yul] Acne Facial Cleanser 120ml,510 sold,30.00
1759481080-151,https://shopee.com.my/lunabeauty.my#product_list,Clearance [Laka] DreamBeam Highlighter 2.8g,30 sold,36.00
1759481080-152,https://shopee.com.my/lunabeauty.my#product_list,[Frudia] My Orchard Hand Cream 30g,643 sold,10.00
1759481080-153,https://shopee.com.my/lunabeauty.my#product_list,[ILSO] Natural Mild Clear Nose Pack 祛黑头鼻贴 鼻头贴,1k+ sold,10.00
1759481080-154,https://shopee.com.my/lunabeauty.my#product_list,[Beauty of Joseon] Green Plum Refreshing Cleanser 100ml,215 sold,41.00
1759481080-155,https://shopee.com.my/lunabeauty.my#product_list,[ANUA] Heartleaf Soothing Trial Kit,23 sold,50.00
1759481080-156,https://shopee.com.my/lunabeauty.my#product_list,[House of Hur] Tropical Dew Sun Cream/ Weightless Sun Fluid 50ml,778 sold,69.90
1759481080-157,https://shopee.com.my/lunabeauty.my#product_list,[House of Hur] Tropical Dew Sun Cream/ Weightless Sun Fluid 50ml,778 sold,69.90
1759481080-158,https://shopee.com.my/lunabeauty.my#product_list,[Dinto] Blur-Glowy Lip Tint 3.5g,1k+ sold,66.00
1759481080-159,https://shopee.com.my/lunabeauty.my#product_list,[Cosrx] Acne Pimple Master Patch - 24 patches (3 sizes) / Clear Fit Master Patch - 18 patches (1 size),2k+ sold,12.00
1759481080-160,https://shopee.com.my/lunabeauty.my#product_list,[Anua] PDRN 100 Hyaluronic Acid Glow Pad 180ml (60ea)/ HA Capsule 100 Serum 30ml/ HA 100 Moisture Cream 60ml,30 sold,81.50
1759481080-161,https://shopee.com.my/lunabeauty.my#product_list,[Tocobo] Vita Glazed/ Mint Cooling/ Lemon Sugar Scrub/ Collagen Boosting Lip Mask 20ml,100 sold,46.00
1759481080-162,https://shopee.com.my/lunabeauty.my#product_list,[Frankly] PDRN Bounce Ball Serum 30ml,4 sold,70.00
1759481080-163,https://shopee.com.my/lunabeauty.my#product_list,[KEYTH] Colored Keyth California Feather-Like Cushion (4 Colors),5 sold,65.40
1759481080-164,https://shopee.com.my/lunabeauty.my#product_list,[Oddtype] Unseen Blur Tint 3.2g,15 sold,55.25
1759481080-165,https://shopee.com.my/lunabeauty.my#product_list,[Fwee] Pocket Eye Palette 6.6g,13 sold,88.50
1759481080-166,https://shopee.com.my/lunabeauty.my#product_list,[Frudia] Ultra UV Shield Sun Essence/ Tone-Up Base Sun Cream 50g/ Bare Skin Foundation Free Sun 40g,353 sold,45.00
1759481080-167,https://shopee.com.my/lunabeauty.my#product_list,[Anua] PDRN 100 Hyaluronic Acid Glow Pad/ Niacinamide 5 TXA Brightening Pad (60ea),19 sold,85.00
1759481080-168,https://shopee.com.my/lunabeauty.my#product_list,[Fwee] Lip & Cheek Blurry Pudding Pot 5g - Keyring Set,313 sold,76.00
1759481080-169,https://shopee.com.my/lunabeauty.my#product_list,[Oddtype] Unseen Baloon Tint 3.2g,32 sold,55.25
1759481080-170,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] A by Unleashia Moonlight Liquid Glitter 4.1g,,24.38
1759481080-171,https://shopee.com.my/lunabeauty.my#product_list,[Studio17] Make Up Tool Set,20 sold,39.50
1759481080-172,https://shopee.com.my/lunabeauty.my#product_list,[#OOTD] OOTD Beauty Collagen/ Retinol/ Hyaluronic Acid/ Cica/ Ceramide Mask 25g (1 piece),839 sold,6.44
1759481080-173,https://shopee.com.my/lunabeauty.my#product_list,[SeohaeSol] Glow Repair Bakuchiol Serum 30ml/ Toner pad (60ea),,169.00
1759481080-174,https://shopee.com.my/lunabeauty.my#product_list,[Purcell] L-Glutathione Vitamin Boosting Toner 150ml,38 sold,82.00
1759481080-175,https://shopee.com.my/lunabeauty.my#product_list,[Jumiso] Blackhead Melting Softener & Cotton Pad Set,289 sold,68.00
1759481080-176,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Luv Hug Velvet Tint 3.4g 轻拥绒雾唇釉,157 sold,25.00
1759481080-177,https://shopee.com.my/lunabeauty.my#product_list,[Medicube] PDRN Pink Collagen Toning Gel Toner Pad 70ea,4k+ sold,82.00
1759481080-178,https://shopee.com.my/lunabeauty.my#product_list,[Unleashia] Glacier Vegan Lip Balm 流光结晶润唇膏,53 sold,15.00
1759481080-179,https://shopee.com.my/lunabeauty.my#product_list,[Jumiso] Pore Clearing Cleansing Oil 200ml,20 sold,59.00
1759481080-180,https://shopee.com.my/lunabeauty.my#product_list,[Naming] Layered Matte Fit Cushion SPF 50+ PA+++,42 sold,50.60
