web-scraper-order,web-scraper-start-url,Product Name,Units sold,Price
1759477013-85,https://shopee.ph/kbeautycafe#product_list,Medicube Collagen Jelly Cream,5.0240 sold,760
1759477013-86,https://shopee.ph/kbeautycafe#product_list,Round Lab Dokdo Cleanser,5.0238 sold,650
1759477013-87,https://shopee.ph/kbeautycafe#product_list,Isntree Green Tea Fresh Toner,4.92K+ sold,250
1759477013-88,https://shopee.ph/kbeautycafe#product_list,Medicube Collagen Night Wrapping Mask 75 ml,4.91K+ sold,"1,125"
1759477013-89,https://shopee.ph/kbeautycafe#product_list,Pyunkang Yul Acne Facial Cleanser,4.92K+ sold,335
1759477013-90,https://shopee.ph/kbeautycafe#product_list,Purito Wonder Releaf Centella BB Cream 30ml,5.029 sold,550
1759477013-91,https://shopee.ph/kbeautycafe#product_list,Haruharu Wonder Black Rice Moisture Airyfit Sunscreen / Mineral Relief Daily / Soothing Sun Shield,4.91K+ sold,699
1759477013-92,https://shopee.ph/kbeautycafe#product_list,Tirtir Milk Skin Toner,5.02K+ sold,500
1759477013-93,https://shopee.ph/kbeautycafe#product_list,CosRX Salicylic Acid Daily Gentle Cleanser | Low pH Good Morning,5.08K+ sold,275
1759477013-94,https://shopee.ph/kbeautycafe#product_list,Isntree Sachet Samples - Hyaluronic Acid Gel Cream | Moist Cream,4.93K+ sold,25
1759477013-95,https://shopee.ph/kbeautycafe#product_list,Anua Niacinamide 5 TXA Brightening Pad (60 Pads),5.050 sold,"1,200"
1759477013-96,https://shopee.ph/kbeautycafe#product_list,"Mediheal Toner Pad - Teatree, Collagen, Retinol, Vitamide*",5.072 sold,"1,050"
1759477013-97,https://shopee.ph/kbeautycafe#product_list,Tocobo Juicy Berry Lip Plumping Oil,4.91K+ sold,359
1759477013-98,https://shopee.ph/kbeautycafe#product_list,Anua Peach 70% Niacin Serum 30ml / Peach 77 Niacin Conditioning Milk / Essence Toner,4.91K+ sold,989
1759477013-99,https://shopee.ph/kbeautycafe#product_list,Eqqualberry Swimming Pool Toner Pads (70 Pads),5.057 sold,"1,024"
1759477013-100,https://shopee.ph/kbeautycafe#product_list,TOCOBO Cotton Soft Sun Stick,4.93K+ sold,650
1759477013-101,https://shopee.ph/kbeautycafe#product_list,Peripera Ink Mood Glowy Tint,5.01K+ sold,410
1759477013-102,https://shopee.ph/kbeautycafe#product_list,Frankly Sunday Glow Serum (5% Niacinamide Serum),4.91K+ sold,399
1759477013-103,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Red Bean Water Gel,4.9494 sold,850
1759477013-104,https://shopee.ph/kbeautycafe#product_list,Innisfree No Sebum Mineral Powder,4.91K+ sold,380
1759477013-105,https://shopee.ph/kbeautycafe#product_list,Numbuzin Serum (No. 3 Skin Softening | No. 5 Blemish | No. 5 Vitamin Concentrated),4.94K+ sold,995
1759477013-106,https://shopee.ph/kbeautycafe#product_list,Frankly Vita Bomb Calming & Relief Serum (5% Niacinamide Serum),4.9418 sold,399
1759477013-107,https://shopee.ph/kbeautycafe#product_list,Anua Heartleaf Succinic Moisture Cleansing Foam,5.0114 sold,699
1759477013-108,https://shopee.ph/kbeautycafe#product_list,"Illiyoon Ceramide Ato Concentrate Cream (New Packaging, New Formula)",5.0708 sold,895
1759477013-109,https://shopee.ph/kbeautycafe#product_list,Mixsoon Glacier Water Hyaluronic Acid Serum 100ml | 300ml,4.9486 sold,999
1759477013-110,https://shopee.ph/kbeautycafe#product_list,Heimish All Clean Green Foam (Authentic),5.06K+ sold,399
1759477013-111,https://shopee.ph/kbeautycafe#product_list,Isntree Onion Newpair Spot Patch [Basic] | [Skin Fit],4.9915 sold,150
1759477013-112,https://shopee.ph/kbeautycafe#product_list,Haruharu Wonder Black Rice Hyaluronic Toner (30 ml | 150 ml | 300 ml),4.9803 sold,240
1759477013-113,https://shopee.ph/kbeautycafe#product_list,Anua Rice Ceramide 7 Hydrating Barrier Serum 50ml,5.0525 sold,950
1759477013-114,https://shopee.ph/kbeautycafe#product_list,Numbuzin No.5 Vitamin-Niacinamide Concentrated Pad,4.9799 sold,890
1759477013-115,https://shopee.ph/kbeautycafe#product_list,3W Clinic Intensive UV Sunblock Cream,4.8253 sold,180
1759477013-116,https://shopee.ph/kbeautycafe#product_list,Haruharu Wonder Black Rice Hyaluronic Toner,5.08K+ sold,580
1759477013-117,https://shopee.ph/kbeautycafe#product_list,SEOUL 1988 Cream : Retinal Liposome 1% + Fermented Rice,5.057 sold,980
1759477013-118,https://shopee.ph/kbeautycafe#product_list,Beauty of Joseon Green Plum Refreshing Cleanser,5.0583 sold,850
1759477013-119,https://shopee.ph/kbeautycafe#product_list,Heimish All Clean Balm,5.010K+ sold,499
1759477013-120,https://shopee.ph/kbeautycafe#product_list,The Ordinary Hyaluronic Acid 2% + B5 (Deciem Korea) - 100% Authentic,5.0416 sold,700
1759477013-121,https://shopee.ph/kbeautycafe#product_list,Haruharu Wonder Black Rice Triple AHA Gentle Cleansing Gel,4.9368 sold,550
1759477013-122,https://shopee.ph/kbeautycafe#product_list,"Mediheal Daily Sheet Mask Healing Essential Line (Tea Tree, Collagen, Placenta, Madecassoside, Vita)",4.91K+ sold,65
1759477013-123,https://shopee.ph/kbeautycafe#product_list,Frankly Deep Cleansing Oil,4.9502 sold,589
1759477013-124,https://shopee.ph/kbeautycafe#product_list,Numbuzin No.1 Pantothenic B5 Active Soothing Cream,4.91K+ sold,480
1759477013-125,https://shopee.ph/kbeautycafe#product_list,Purito Wonder Releaf Centella Daily Sun Lotion 60ml,5.021 sold,350
1759477013-126,https://shopee.ph/kbeautycafe#product_list,AHC Natural Perfection Double Shield Sun Stick / Fresh Sun Stick,4.92K+ sold,450
1759477013-127,https://shopee.ph/kbeautycafe#product_list,Numbuzin No.1 Pure-Full Calming Herb Toner,4.92K+ sold,920
1759477013-128,https://shopee.ph/kbeautycafe#product_list,Medicube PDRN Pink Collagen Gel Mask,4.9215 sold,250
1759477013-129,https://shopee.ph/kbeautycafe#product_list,I'm from Mugwort Essence,5.04K+ sold,550
1759477013-130,https://shopee.ph/kbeautycafe#product_list,Frankly PDRN Bounce Ball Serum,5.033 sold,659
